111.4,111.3,108.2,108.6,93.64,86.32
118.7,118.9,114.1,114.8,89.72,77.86
128.6,128.7,121.3,122.4,85.06,66.78
108.399599089316,109.566847863591,110.341230722395,116.964614150154,120.687904068043,125.699893148309
113.634156067595,115.919905300027,117.478735162603,128.560036970111,134.718737171463,143.186740091929
121.131961308593,124.945025688996,127.706045295947,145.468567912913,155.47706512968,168.904189054704
107.450401076572,109.22672165891,110.795696733838,118.9654422632,123.904800713877,130.41475640759
110.313384242073,114.087616546706,117.762335274306,133.13864186545,143.158116407316,156.156642981255
111.931094770291,117.989086000842,124.527671348028,150.547064575335,169.767696852641,193.472508159743
100.998719863508,113.232890348951,128.31412023286,188.783934137928,247.46595627762,320.291296212187
54.6191336032202,67.8964955052708,87.1149061620434,189.290287959615,317.330968219342,499.839901894912
